IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_effectivenessfairness_attitudes,prisonsystem_effectivenessfairness_attitudes,courtprisonsystem_attitdues,allsystem_effectiveness_attitudes,allsystem_fairness_attitudes,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0,verdict_POST,confidence_guilty_POST,confidence_verdict_POST,confidence_verdict_POST,penalty_continuous_POST_NA,penalty_continuous_POST_NA,impression_defendant_SES,impression_defendant_income,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive
24.214.184.87,494,26,0,1,1,0,5,Democrat,1,2,2,2,1,1,2,1,1,1,1,1.5,1,1.5,1,1.25,1.6,1.2,1.4,7,4,white_southern,0,2,0,,1,1,NA,0,0,,1,1,0,NA,3,2,3,3,3,5,6,6,4,6,6
107.77.232.36,727,47,0,1,1,0,6,Democrat,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1.6,1.8,7,7,white_southern,0,2,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,5,6,1,2,3,6,3,4
47.42.29.22,362,34,1,1,1,0,3,Democrat,3,3,3,2,2,1,2,3,1,1,2,2.5,2,3,1.5,2.25,2.2,1.8,2,2,5,white_southern,0,4,0,,3,3,4,4,1,5,,5,2,2,2,2,2,4,4,4,6,3,5,6,5
66.61.23.130,660,32,1,1,1,0,3,Independent,5,3,3,2,3,2,5,4,2,3,2,3,3.5,3.5,3,3.25,2.6,3.2,2.9,5,6,white_southern,0,2,0,,5,5,NA,0,0,,5,5,0,NA,3,3,2,5,5,4,5,5,7,5,4
136.58.41.228,568,45,1,1,1,0,5,Independent,5,2,2,3,1,2,3,1,1,1,1,1.5,1,1.5,1,1.25,2,1.4,1.7,4,3,white_southern,0,1,0,,3,3,NA,0,1,5,,5,2,2,1,1,2,3,3,3,3,4,3,4,4
68.224.250.66,444,59,1,1,1,0,5,Independent,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1.8,1.9,6,6,white_southern,0,2,0,,6,6,NA,0,0,,6,6,0,NA,1,1,2,4,3,3,4,5,4,4,3
108.209.76.53,481,24,1,1,1,0,5,Republican,5,2,2,3,3,2,2,2,2,2,1,2.5,2,2,2.5,2.25,2.4,1.8,2.1,5,5,white_southern,0,0,0,,5,5,NA,0,1,4,,4,2,2,2,2,2,2,3,6,7,5,3,6,6
108.225.133.125,582,50,1,1,1,0,4,Republican,6,1,2,1,1,1,2,1,1,1,2,1.5,1,1.5,1,1.25,1.2,1.4,1.3,3,7,white_southern,0,3,0,,5,5,NA,0,0,,6,6,0,NA,2,2,2,5,5,2,4,4,6,3,4
69.112.240.212,490,45,0,1,1,0,4,Republican,4,2,2,2,1,2,2,2,2,1,2,1.5,1.5,2,1,1.5,1.8,1.8,1.8,3,1,white_southern,0,0,0,,5,5,NA,0,0,,5,5,0,NA,2,2,2,4,3,4,4,4,4,4,5
70.127.198.83,507,52,0,1,1,0,6,Democrat,4,3,3,3,2,1,2,2,2,2,1,2.5,2,2.5,2,2.25,2.4,1.8,2.1,7,3,white_southern,0,5,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,4,4,4,4,4,4,5,4
184.182.15.199,505,30,1,1,1,0,5,Democrat,1,2,2,4,1,2,2,1,2,1,1,1.5,1,1.5,1,1.25,2.2,1.4,1.8,7,7,white_southern,0,1,0,,2,2,NA,0,0,,2,2,0,NA,3,2,3,4,4,4,4,4,4,4,4
24.136.9.232,494,31,0,1,1,0,5,Independent,4,2,3,2,1,2,2,3,2,1,3,2,2,3,1,2,2,2.2,2.1,5,6,white_southern,0,1,0,,3,3,NA,0,1,5,,5,2,2,1,1,2,2,2,3,5,2,2,6,6
24.183.194.226,621,60,0,1,1,0,5,Independent,2,2,2,1,1,2,2,2,1,1,2,1.5,1.5,2,1,1.5,1.6,1.6,1.6,6,6,white_southern,0,10,0,,1,1,NA,0,1,4,,4,4,4,2,2,2,2,2,5,5,5,4,5,6
174.26.158.77,400,30,0,1,1,0,2,Republican,7,2,3,3,2,1,2,2,2,2,1,2.5,2,2.5,2,2.25,2.2,1.8,2,4,1,white_southern,0,10,0,,7,7,NA,0,0,,7,7,0,NA,3,2,2,5,5,2,4,5,4,4,6
72.176.167.169,430,29,0,0,0,1,4,Independent,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,white_southern,0,10,0,,1,1,NA,0,0,,4,4,0,NA,2,2,2,4,5,2,2,4,4,2,1
69.248.88.201,386,65,0,1,1,0,6,Independent,4,2,2,2,1,2,3,2,3,2,3,1.5,2,2,1.5,1.75,1.8,2.6,2.2,4,4,white_southern,0,3,0,,2,2,3,3,0,,2,2,0,NA,3,3,3,5,5,2,4,3,5,4,4
96.29.132.148,412,35,0,1,1,0,6,Democrat,4,2,2,2,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.6,1.4,1.5,7,7,white_southern,0,3,0,,4,4,NA,0,0,,4,4,0,NA,1,1,2,4,3,4,5,4,6,6,6
75.115.132.183,655,56,0,1,1,0,3,Democrat,2,2,4,3,3,3,2,3,2,3,3,3.5,3,3.5,3,3.25,3,2.6,2.8,7,7,white_southern,0,2,0,,2,2,NA,0,0,,4,4,0,NA,2,1,2,5,5,3,5,6,4,5,4
174.216.14.122,1518,38,0,0,0,1,6,Democrat,4,2,2,1,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.4,1,1.2,6,6,white_southern,0,1,0,,2,2,NA,0,0,,2,2,0,NA,3,2,2,3,2,1,3,1,3,2,2
24.254.139.154,316,33,0,1,1,0,5,Democrat,1,3,2,2,1,2,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,2,NA,NA,7,6,white_southern,0,5,0,,5,5,NA,0,0,,5,5,0,NA,3,2,2,4,5,3,5,5,5,4,5
99.109.149.93,362,26,0,0,1,0,2,Independent,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,5,white_southern,0,4,0,,2,2,4,4,0,,3,3,0,NA,3,2,2,4,4,4,4,4,4,4,4
76.32.91.128,668,33,1,0,1,0,6,Democrat,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2.2,2,2.1,6,6,white_southern,0,3,0,,5,5,NA,0,0,,6,6,0,NA,2,2,3,4,3,3,3,4,3,4,4
24.90.156.78,546,39,0,1,1,0,5,Democrat,2,2,2,2,2,2,1,1,1,1,1,2,1,1.5,1.5,1.5,2,1,1.5,6,6,white_southern,0,2,0,,2,2,NA,0,0,,2,2,0,NA,2,2,2,2,2,4,5,4,2,5,5
100.8.207.246,285,27,0,0,1,0,6,Independent,4,2,2,2,2,1,3,3,3,3,2,2,3,2.5,2.5,2.5,1.8,2.8,2.3,5,5,white_southern,0,3,0,,4,4,NA,0,0,,4,4,0,NA,2,3,2,4,3,4,5,3,3,5,5
45.19.212.220,322,34,1,1,1,0,5,Independent,2,2,2,2,1,2,2,2,2,2,2,1.5,2,2,1.5,1.75,1.8,2,1.9,6,5,white_southern,0,1,0,,6,6,NA,0,0,,5,5,0,NA,2,2,2,4,4,4,4,4,4,4,4
216.49.134.144,799,28,1,1,1,0,5,Independent,4,3,3,3,2,2,2,2,2,1,1,2.5,1.5,2.5,1.5,2,2.6,1.6,2.1,7,7,white_southern,0,0,0,,3,3,2,2,0,,4,4,2,2,2,2,2,5,5,4,4,5,5,5,4
47.226.90.213,315,38,1,1,1,0,2,Democrat,3,1,2,2,1,1,1,2,2,1,1,1.5,1.5,2,1,1.5,1.4,1.4,1.4,7,7,white_southern,0,0,0,,5,5,NA,0,0,,5,5,0,NA,1,1,1,4,3,5,4,5,4,4,4
75.247.23.237,368,21,0,1,1,0,2,Independent,4,1,1,2,1,1,2,2,1,2,1,1,2,1.5,1.5,1.5,1.2,1.6,1.4,5,1,white_southern,0,2,0,,5,5,NA,0,0,,4,4,0,NA,1,1,1,3,4,2,4,4,4,4,5
72.135.158.171,983,50,0,0,1,0,1,Independent,6,1,2,2,1,2,1,2,2,1,2,1.5,1.5,2,1,1.5,1.6,1.6,1.6,7,7,white_standard,0,0,0,,4,4,NA,0,0,,3,3,0,NA,2,1,2,4,6,2,2,3,6,2,2
67.171.228.9,639,39,1,1,1,0,5,Democrat,2,3,2,3,2,2,3,2,2,2,1,2,2,2,2,2,2.4,2,2.2,7,6,white_standard,0,3,0,,1,1,NA,0,1,5,,5,2,2,3,2,2,3,4,4,5,4,3,5,5
198.61.122.194,1461,30,0,0,NA,NA,5,Independent,2,2,2,2,1,2,2,2,1,1,2,1.5,1.5,2,1,1.5,1.8,1.6,1.7,6,4,white_standard,0,10,0,,3,3,NA,0,0,,4,4,0,NA,2,2,3,3,4,2,4,2,3,2,2
160.3.186.42,480,32,1,1,1,0,2,Republican,4,2,1,2,2,1,2,1,1,1,1,1.5,1,1,1.5,1.25,1.6,1.2,1.4,5,4,white_standard,0,1,0,,4,4,NA,0,0,,6,6,0,NA,3,2,2,4,4,4,4,4,4,4,4
76.181.40.39,444,25,1,1,1,0,3,Democrat,3,3,3,2,2,1,1,1,1,2,1,2.5,1.5,2,2,2,2.2,1.2,1.7,6,7,white_standard,0,2,0,,3,3,NA,0,0,,2,2,0,NA,3,3,3,5,5,2,3,6,5,4,5
68.35.121.241,605,32,0,1,1,0,3,Independent,4,2,2,2,2,2,1,1,1,1,1,2,1,1.5,1.5,1.5,2,1,1.5,1,5,white_standard,0,1,0,,5,5,NA,0,0,,5,5,0,NA,3,2,3,2,4,2,2,5,6,4,2
70.123.8.63,485,38,1,0,0,1,6,Democrat,2,3,2,4,3,3,3,4,3,4,4,2.5,4,3,3.5,3.25,3,3.6,3.3,3,4,white_standard,0,0,0,,5,5,NA,0,0,,,NA,0,NA,3,4,NA,5,6,3,4,6,5,3,5
96.241.197.231,538,34,1,1,1,0,5,Democrat,3,2,2,4,2,1,2,2,2,1,1,2,1.5,2,1.5,1.75,2.2,1.6,1.9,7,5,white_standard,0,0,0,,3,3,NA,0,0,,2,2,0,NA,3,2,2,4,3,5,6,6,4,6,6
24.189.183.175,434,29,NA,NA,NA,NA,5,Independent,4,2,2,2,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.6,1,1.3,7,4,white_standard,0,1,0,,7,7,NA,0,0,,7,7,0,NA,3,5,3,4,4,4,4,4,4,4,4
47.146.127.110,617,23,1,0,1,0,4,Independent,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,white_standard,0,0,0,,4,4,NA,0,0,,4,4,0,NA,3,3,2,4,4,3,6,5,3,6,6
76.150.68.199,835,63,0,1,1,0,5,Independent,6,2,2,2,1,1,3,3,2,3,2,1.5,3,2.5,2,2.25,1.6,2.6,2.1,7,6,white_standard,0,5,0,,5,5,NA,0,0,,6,6,0,NA,3,3,3,6,6,2,3,5,6,4,5
172.59.97.19,650,51,1,0,1,0,2,Independent,4,2,2,2,1,3,2,2,2,2,3,1.5,2,2,1.5,1.75,2,2.2,2.1,2,5,white_standard,0,1,0,,4,4,NA,0,0,,6,6,0,NA,3,2,2,4,4,2,2,1,4,3,4
108.48.101.150,524,37,0,0,0,1,3,Democrat,5,3,2,2,1,2,2,1,1,1,2,1.5,1,1.5,1,1.25,2,1.4,1.7,7,4,white_standard,0,0,0,,5,5,NA,0,0,,7,7,0,NA,2,2,2,6,7,1,1,1,7,1,2
24.193.33.247,625,24,0,1,1,0,5,Independent,4,1,3,2,1,2,1,4,2,4,2,2,4,3.5,2.5,3,1.8,2.6,2.2,7,7,white_standard,0,5,0,,3,3,5,5,0,,2,2,0,NA,3,2,3,4,3,2,5,6,4,5,6
174.215.178.133,1085,45,1,1,1,0,3,Republican,5,2,3,4,3,2,1,3,4,2,2,3,2.5,3,2.5,2.75,2.8,2.4,2.6,6,6,white_standard,0,2,0,,6,6,NA,0,0,,6,6,0,NA,2,1,2,4,5,5,5,6,5,5,5
73.45.75.70,722,33,1,0,0,1,1,Independent,4,3,3,3,3,4,3,3,2,3,4,3,3,3,3,3,3.2,3,3.1,4,4,white_standard,0,1,0,,2,2,NA,0,0,,2,2,0,NA,3,3,3,4,4,3,3,3,4,5,4
68.103.77.96,1162,26,1,1,1,0,2,Democrat,1,2,3,4,1,2,3,2,2,1,1,2,1.5,2.5,1,1.75,2.4,1.8,2.1,5,4,white_standard,0,5,0,,5,5,NA,0,0,,6,6,0,NA,2,2,2,4,4,3,5,5,4,5,5
76.34.209.130,577,39,1,0,0,1,2,Independent,4,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1.4,1,1.2,4,4,white_standard,0,2,0,,4,4,NA,0,0,,6,6,0,NA,3,2,3,4,4,1,1,1,3,2,1
76.171.71.79,714,23,0,0,0,1,5,Republican,5,4,3,4,3,4,2,2,3,3,2,3,2.5,2.5,3,2.75,3.6,2.4,3,5,4,white_standard,0,11,0,,4,4,NA,0,0,,5,5,0,NA,3,2,3,4,3,3,4,4,4,5,5
75.206.253.107,426,29,0,1,1,0,5,Independent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,white_standard,0,3,0,,1,1,NA,0,0,,1,1,0,NA,2,2,2,4,4,4,5,4,4,5,5
96.42.110.20,648,51,1,1,1,0,3,Independent,3,2,2,3,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,6,4,white_standard,0,2,0,,3,3,NA,0,0,,1,1,0,NA,2,2,2,4,4,4,4,5,4,5,5
99.189.112.37,486,25,0,0,1,0,5,Democrat,2,2,2,3,1,3,2,1,1,1,2,1.5,1,1.5,1,1.25,2.2,1.4,1.8,6,5,white_standard,0,1,0,,5,5,NA,0,0,,5,5,0,NA,3,2,3,4,6,3,4,4,5,5,5
23.125.204.9,401,30,0,1,1,0,6,Democrat,1,2,3,3,1,2,2,1,2,1,2,2,1,2,1,1.5,2.2,1.6,1.9,7,7,white_standard,0,1,0,,4,4,NA,0,1,5,,5,2,2,3,2,3,1,4,4,6,5,4,7,6
174.251.240.99,527,41,0,0,0,1,3,Independent,5,3,2,2,1,4,3,1,2,1,4,1.5,1,1.5,1,1.25,2.4,2.2,2.3,5,6,white_standard,0,1,0,,6,6,NA,0,0,,5,5,0,NA,4,3,3,5,7,1,1,1,7,1,2
12.30.244.130,362,33,1,1,1,0,5,Democrat,2,1,2,3,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.6,1,1.3,7,5,white_standard,0,3,0,,4,4,NA,0,0,,4,4,0,NA,3,4,3,5,5,4,4,4,5,5,4
76.180.141.99,595,32,0,1,1,0,6,Independent,4,3,3,4,1,2,2,3,3,1,2,2,2,3,1,2,2.6,2.2,2.4,6,5,white_standard,0,5,0,,2,2,NA,0,0,,2,2,0,NA,3,2,3,4,4,4,6,5,4,6,6
74.66.243.144,847,47,1,1,1,0,5,Democrat,1,2,2,2,2,2,2,3,2,1,3,2,2,2.5,1.5,2,2,2.2,2.1,7,6,white_standard,0,5,0,,4,4,NA,0,0,,6,6,0,NA,3,3,3,5,7,2,4,4,6,2,4
166.182.251.123,371,28,0,0,0,1,5,Democrat,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,white_standard,0,4,0,,5,5,NA,0,0,,3,3,0,NA,3,3,3,4,4,4,4,4,4,4,4
24.101.45.37,453,55,0,1,1,0,3,Republican,6,2,2,2,2,2,2,2,1,3,1,2,2.5,2,2.5,2.25,2,1.8,1.9,7,7,white_standard,0,4,0,,1,1,4,4,0,,1,1,2,2,2,2,2,4,4,4,4,4,7,4,5
136.49.0.192,577,69,1,1,1,0,3,Democrat,3,1,2,2,1,2,3,3,3,1,1,1.5,2,2.5,1,1.75,1.6,2.2,1.9,6,4,white_standard,0,1,0,,2,2,NA,0,0,,2,2,0,NA,3,3,3,2,6,1,1,6,6,1,1
72.76.123.237,412,27,1,1,1,0,5,Democrat,1,1,2,2,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.4,1,1.2,7,7,white_standard,0,5,0,,3,3,NA,0,0,,1,1,0,NA,2,2,3,4,4,5,6,5,2,7,5
73.214.123.211,357,44,0,1,1,0,4,Republican,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,white_standard,0,2,0,,4,4,2,2,0,,4,4,2,2,2,2,2,4,4,1,2,1,4,1,1
73.12.228.98,487,62,1,1,1,0,6,Independent,4,2,3,3,2,3,2,2,3,2,3,2.5,2,2.5,2,2.25,2.6,2.4,2.5,6,6,white_standard,0,2,0,,2,2,NA,0,0,,3,3,0,NA,2,2,3,4,5,3,4,5,4,5,5
70.180.42.102,610,37,1,1,1,0,2,Democrat,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1,1,white_standard,0,2,0,,4,4,NA,0,0,,4,4,0,NA,3,3,2,3,3,2,4,4,3,3,3
108.29.193.36,290,24,1,1,1,0,5,Independent,4,2,3,4,2,3,4,2,4,1,3,2.5,1.5,2.5,1.5,2,2.8,2.8,2.8,4,2,white_standard,0,2,0,,3,3,3,3,0,,3,3,0,NA,3,2,2,4,3,4,2,5,6,5,4
74.140.232.230,389,35,0,1,1,0,3,Republican,4,3,2,2,2,2,2,1,1,2,1,2,1.5,1.5,2,1.75,2.2,1.4,1.8,6,6,white_standard,0,4,0,,4,4,2,2,1,4,,4,2,2,2,2,2,4,4,4,3,5,5,5,5
73.242.36.65,415,28,0,0,1,0,5,Democrat,3,2,1,2,1,2,2,3,3,3,1,1,3,2,2,2,1.6,2.4,2,4,2,white_standard,0,10,0,,2,2,NA,0,0,,3,3,0,NA,2,3,2,4,4,2,5,4,4,5,5
75.132.172.39,401,31,0,1,1,0,6,Democrat,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,5,7,white_standard,0,0,0,,6,6,NA,0,0,,6,6,0,NA,3,3,3,3,4,2,4,3,3,2,5
50.20.125.58,450,31,0,1,1,0,5,Independent,3,2,2,2,1,2,2,2,1,1,2,1.5,1.5,2,1,1.5,1.8,1.6,1.7,7,7,white_standard,0,1,0,,2,2,NA,0,0,,2,2,0,NA,2,3,2,2,3,2,2,2,2,4,4
173.23.107.143,479,63,0,1,1,0,3,Republican,5,1,2,1,3,2,3,2,1,4,1,2.5,3,2,3.5,2.75,1.8,2.2,2,7,4,white_standard,0,2,0,,,,NA,0,0,,5,5,0,NA,3,2,3,4,5,1,1,5,5,1,1
70.59.20.138,357,34,1,1,1,0,3,Democrat,2,2,2,2,1,1,2,2,2,1,1,1.5,1.5,2,1,1.5,1.6,1.6,1.6,6,5,white_standard,0,0,0,,3,3,NA,0,0,,3,3,0,NA,4,4,3,4,5,3,3,4,5,4,4
166.205.147.141,452,33,0,0,0,1,2,Democrat,1,2,4,2,3,2,3,2,2,2,2,3.5,2,3,2.5,2.75,2.6,2.2,2.4,7,7,black_written,1,2,1,7,,7,3,3,0,,7,7,0,NA,3,3,2,4,5,4,4,4,4,5,4
99.74.30.184,367,27,0,1,1,0,2,Independent,4,2,2,1,1,2,2,2,2,2,2,1.5,2,2,1.5,1.75,1.6,2,1.8,6,6,black_written,1,3,1,6,,6,3,3,1,4,,4,3,3,2,2,2,4,3,4,6,6,3,7,4
71.181.40.66,497,32,1,1,1,0,3,Democrat,3,3,2,2,1,2,2,2,2,2,2,1.5,2,2,1.5,1.75,2,2,2,5,5,black_written,1,5,1,4,,4,4,4,0,,5,5,0,NA,3,2,2,5,5,2,3,4,5,3,3
73.119.161.155,454,28,1,0,0,1,5,Republican,6,3,5,4,5,2,4,4,4,5,3,5,4.5,4.5,5,4.75,3.8,4,3.9,6,6,black_written,1,8,1,5,,5,8,8,1,5,,5,7,7,3,3,2,3,4,4,5,6,6,1,6
76.152.74.139,469,47,1,1,1,0,6,Republican,6,2,4,2,2,1,2,4,3,2,1,3,3,4,2,3,2.2,2.4,2.3,7,7,black_written,1,1,1,3,,3,2,2,0,,3,3,0,NA,3,3,3,4,6,2,2,6,6,4,2
24.107.126.206,476,61,0,1,1,0,2,Republican,7,4,4,2,3,4,4,3,2,3,4,3.5,3,3.5,3,3.25,3.4,3.2,3.3,7,7,black_written,1,5,1,7,,7,5,5,1,7,,7,5,5,3,2,2,1,4,4,7,4,4,7,7
73.136.233.188,434,21,0,0,1,0,4,Democrat,2,2,2,2,1,2,2,1,2,1,1,1.5,1,1.5,1,1.25,1.8,1.4,1.6,5,5,black_written,1,3,1,3,,3,4,4,0,,3,3,2,2,3,2,2,3,4,1,3,3,5,3,4
174.178.126.189,745,27,0,0,1,0,4,Democrat,5,2,3,3,4,2,5,4,4,4,4,3.5,4,3.5,4,3.75,2.8,4.2,3.5,3,3,black_written,1,5,1,4,,4,6,6,1,5,,5,8,8,1,1,3,6,7,6,5,7,5,4,5
73.236.1.187,1647,37,1,1,1,0,5,Republican,6,4,5,4,3,2,5,4,3,5,3,4,4.5,4.5,4,4.25,3.6,4,3.8,6,6,black_written,1,3,1,6,,6,3,3,0,,5,5,3,3,3,2,2,5,5,6,6,4,3,4,6
71.77.188.203,1645,43,1,1,1,0,5,Republican,6,4,4,5,2,3,2,4,5,2,4,3,3,4,2,3,3.6,3.4,3.5,4,5,black_written,1,2,1,5,,5,3,3,1,4,,4,3,3,4,2,3,3,5,5,5,5,4,5,2
76.79.113.132,441,39,1,1,1,0,5,Democrat,3,4,4,3,2,3,4,3,2,2,3,3,2.5,3.5,2,2.75,3.2,2.8,3,6,5,black_written,1,7,1,7,,7,7,7,1,7,,7,7,7,2,2,2,2,3,6,2,3,3,4,4
212.116.254.44,1425,48,1,0,0,1,5,Democrat,1,3,5,5,4,4,4,3,4,5,3,4.5,4,4,4.5,4.25,4.2,3.8,4,6,6,black_southern,1,10,1,,,,5,5,1,,,,6,6,3,2,3,4,4,6,4,5,4,5,6
172.59.216.241,836,37,0,1,1,0,3,Independent,4,2,3,1,3,2,3,3,1,2,1,3,2.5,3,2.5,2.75,2.2,2,2.1,7,7,black_southern,1,5,1,5,,5,5,5,0,,6,6,0,NA,2,1,2,4,4,5,4,4,6,6,5
99.102.112.17,379,37,0,1,1,0,5,Republican,4,2,2,2,1,2,2,2,3,2,2,1.5,2,2,1.5,1.75,1.8,2.2,2,6,6,black_southern,1,5,1,6,,6,5,5,1,6,,6,5,5,2,2,2,2,5,5,5,6,6,6,5
73.16.216.144,699,22,1,0,1,0,3,Independent,4,2,4,3,2,3,4,2,2,1,2,3,1.5,3,1.5,2.25,2.8,2.2,2.5,5,7,black_southern,1,5,1,5,,5,5,5,1,2,,2,2,2,2,2,2,4,5,4,2,5,6,3,2
172.56.3.241,874,23,1,0,0,1,3,Independent,4,3,2,1,2,2,1,1,1,1,2,2,1,1.5,1.5,1.5,2,1.2,1.6,1,1,black_southern,1,1,1,5,,5,2,2,0,,6,6,0,NA,2,3,2,5,5,4,3,4,6,4,4
98.122.253.102,544,24,0,1,1,0,5,Republican,5,1,2,1,3,2,1,4,1,4,1,2.5,4,3,3.5,3.25,1.8,2.2,2,6,7,black_southern,1,10,1,5,,5,6,6,0,,3,3,0,NA,2,2,2,5,2,2,3,5,4,3,3
24.115.50.57,452,59,0,1,1,0,4,Democrat,4,3,4,3,2,4,3,3,2,3,3,3,3,3.5,2.5,3,3.2,2.8,3,7,7,black_southern,1,1,1,7,,7,2,2,1,7,,7,2,2,3,1,2,1,4,7,7,7,5,7,7
69.53.21.188,323,34,1,0,1,0,5,Democrat,1,2,2,2,1,2,1,1,1,1,1,1.5,1,1.5,1,1.25,1.8,1,1.4,7,7,black_southern,1,0,1,3,,3,2,2,1,2,,2,2,2,2,2,2,4,4,3,5,3,3,5,5
76.105.42.189,385,36,1,1,1,0,,Democrat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,black_southern,1,5,1,2,,2,3,3,0,,3,3,0,NA,2,2,2,4,4,4,4,4,4,4,5
73.217.235.200,392,44,1,1,1,0,3,Independent,4,3,2,3,2,2,2,4,2,3,3,2,3.5,3,2.5,2.75,2.4,2.8,2.6,6,5,black_southern,1,0,1,5,,5,2,2,0,,6,6,0,NA,1,1,2,5,4,2,2,4,5,3,3
69.228.212.231,604,25,0,0,0,1,5,Democrat,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,black_southern,1,10,1,5,,5,5,5,0,,5,5,0,NA,2,2,3,5,5,5,5,6,6,5,6
76.183.202.58,343,33,1,1,1,0,3,Independent,4,1,2,3,2,1,1,3,3,2,1,2,2.5,2.5,2,2.25,1.8,2,1.9,5,2,black_southern,1,5,1,5,,5,5,5,0,,4,4,0,NA,2,1,2,3,3,4,5,4,2,5,6
73.108.72.214,854,28,1,0,0,1,3,Independent,4,3,3,4,4,5,3,3,4,4,5,3.5,3.5,3,4,3.5,3.8,3.8,3.8,7,5,black_southern,1,6,1,3,,3,6,6,0,,2,2,0,NA,1,1,2,3,3,3,5,4,3,5,4
173.3.124.3,648,59,1,0,1,0,5,Democrat,4,2,3,2,2,3,3,2,2,2,2,2.5,2,2.5,2,2.25,2.4,2.2,2.3,7,6,black_southern,1,3,1,5,,5,3,3,0,,5,5,0,NA,2,1,2,4,4,4,4,4,4,4,4
76.32.121.153,1292,28,1,0,1,0,3,Independent,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1.2,1.2,1.2,5,5,black_southern,1,1,1,7,,7,2,2,0,,3,3,0,NA,1,1,2,4,5,4,3,3,5,3,5
173.23.192.5,417,50,0,1,1,0,4,Republican,4,2,3,1,3,2,2,3,1,3,2,3,3,3,3,3,2.2,2.2,2.2,7,4,black_standard,1,8,1,6,,6,8,8,1,6,,6,5,5,2,2,2,2,4,4,6,4,4,6,6
207.228.32.234,1535,34,1,0,0,1,5,Democrat,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3.2,3.1,5,7,black_standard,1,4,1,7,,7,4,4,0,,4,4,0,NA,2,1,2,4,2,2,1,3,2,3,3
208.199.140.42,807,22,0,1,1,0,3,Democrat,1,2,2,1,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.4,1.4,1.4,6,6,black_standard,1,3,1,4,,4,3,3,0,,2,2,0,NA,3,2,3,3,4,3,4,4,6,3,4
66.25.218.50,333,23,0,0,1,0,5,Democrat,4,1,1,1,3,1,1,1,1,1,1,2,1,1,2,1.5,1.4,1,1.2,7,5,black_standard,1,8,1,4,,4,8,8,1,4,,4,8,8,3,3,3,4,5,5,5,4,4,5,5
172.58.253.24,850,40,0,1,1,0,3,Independent,4,2,3,3,2,2,1,2,2,2,1,2.5,2,2.5,2,2.25,2.4,1.6,2,5,6,black_standard,1,4,1,6,,6,3,3,0,,3,3,0,NA,3,2,2,4,5,4,5,5,5,6,6
74.128.202.43,588,28,0,0,0,1,6,Democrat,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,black_standard,1,5,1,5,,5,5,5,1,7,,7,5,5,2,2,2,2,2,5,7,4,3,6,6
